EXPNUM,MU,PSP,INV,USFSspID,Month,Year,EXPF,TREENUM,DCLASS,DBH,KCODE
1,90,52,20,6,6,2000,5,54100,16,15.9,200
1,90,52,20,4,6,2000,5,55100,10,10.2,200
1,90,52,20,4,6,2000,5,62600,10,9.5,200
1,90,52,20,6,6,2000,5,64200,11,10.6,200
1,90,52,20,15,6,2000,5,64700,5,5.3,200
1,90,52,20,4,6,2000,5,64800,17,16.5,200
1,90,52,20,6,6,2000,5,73100,8,8.4,200
1,90,52,20,4,6,2000,5,73800,10,10.3,200
1,90,52,20,4,6,2000,5,81800,12,12,200
1,90,52,20,6,6,2000,5,83300,13,13.4,200
1,90,52,20,4,6,2000,5,84800,8,8.2,200
1,90,52,20,6,6,2000,5,90300,13,13.2,200
1,90,52,20,4,6,2000,5,92400,15,15.2,200
1,90,52,20,16,6,2000,5,93200,10,10.4,200
1,90,52,20,6,6,2000,5,94400,15,14.7,200
1,90,52,20,6,6,2000,5,94700,9,9.1,200
1,90,11,21,4,7,2001,50,1600,1,0.7,100
1,90,11,21,6,7,2001,5,4600,13,12.9,200
1,90,11,21,6,7,2001,5,4800,8,7.9,200
1,90,11,21,4,7,2001,5,5100,15,15.4,200
1,90,11,21,6,7,2001,5,11600,6,6.3,200
1,90,11,21,6,7,2001,5,11700,16,16.1,200
1,90,11,21,4,7,2001,5,14900,9,8.6,200
1,90,11,21,6,7,2001,5,20800,12,11.7,200
1,90,11,21,1,7,2001,50,31100,1,1.1,100
1,90,11,21,6,7,2001,50,31400,1,0.8,100
1,90,11,21,4,7,2001,5,31500,14,13.8,200
1,90,11,21,4,7,2001,5,33200,14,14,200
1,90,11,21,4,7,2001,5,34600,9,8.7,200
1,90,11,21,6,7,2001,50,40200,1,0.8,100
1,90,11,21,6,7,2001,50,41300,1,1.3,100
1,90,11,21,4,7,2001,5,43200,13,12.8,200
1,90,11,21,6,7,2001,5,43600,14,13.9,200
1,90,11,21,1,7,2001,50,51200,2,2.1,100
1,90,11,21,4,7,2001,5,51700,17,16.6,200
1,90,11,21,1,7,2001,5,51800,5,4.8,200
1,90,11,21,1,7,2001,5,55100,5,5.4,200
1,90,11,21,1,7,2001,5,55200,5,5.3,200
1,90,11,21,10,7,2001,50,60900,2,1.8,100
1,90,11,21,1,7,2001,50,61400,1,1.1,100
1,90,11,21,6,7,2001,5,63900,8,8.4,200
1,90,11,21,4,7,2001,5,64000,16,15.5,200
1,90,11,21,6,7,2001,5,64900,7,7.2,200
1,90,11,21,10,7,2001,50,70600,2,2,100
1,90,11,21,1,7,2001,50,71000,1,1.2,100
1,90,11,21,1,7,2001,50,71200,2,1.9,100
1,90,11,21,1,7,2001,20,71400,3,2.9,100
1,90,11,21,1,7,2001,50,71600,2,2.1,100
1,90,11,21,4,7,2001,50,71700,1,1,100
1,90,11,21,6,7,2001,20,72400,3,2.8,100
1,90,11,21,6,7,2001,5,73400,9,9.4,200
1,90,11,21,4,7,2001,5,74200,15,14.9,200
1,90,11,21,4,7,2001,5,74500,12,12.4,200
1,90,11,21,4,7,2001,50,81100,1,1,100
1,90,11,21,6,7,2001,50,81400,1,1.4,100
1,90,11,21,6,7,2001,20,81500,3,2.6,100
1,90,11,21,1,7,2001,5,83800,5,5,200
1,90,11,21,4,7,2001,5,85200,10,10.2,200
1,90,11,21,1,7,2001,20,91100,3,3.2,100
1,90,11,21,6,7,2001,50,91200,1,1.1,100
1,90,11,21,6,7,2001,50,91600,1,1,100
1,90,11,21,1,7,2001,5,92900,6,5.7,200
1,90,11,21,4,7,2001,5,95000,10,9.7,200
1,90,11,21,4,7,2001,5,95100,13,13.1,200
1,90,12,21,6,7,2001,50,200,2,1.9,100
1,90,12,21,10,7,2001,50,300,1,0.5,100
1,90,12,21,6,7,2001,50,600,1,0.8,100
1,90,12,21,6,7,2001,50,700,1,0.7,100
1,90,12,21,6,7,2001,50,1000,1,0.7,100
1,90,12,21,1,7,2001,50,1200,1,1.2,100
1,90,12,21,10,7,2001,50,1300,1,1.4,100
1,90,12,21,6,7,2001,50,1400,2,2.2,100
1,90,12,21,6,7,2001,20,1500,3,3.3,100
1,90,12,21,16,7,2001,5,3900,8,7.6,200
1,90,12,21,6,7,2001,5,4300,8,7.5,200
1,90,12,21,6,7,2001,5,4500,10,10.2,200
1,90,12,21,6,7,2001,5,4700,9,9,200
1,90,12,21,6,7,2001,5,5100,14,13.8,200
1,90,12,21,6,7,2001,50,10100,1,1.1,100
1,90,12,21,6,7,2001,50,10401,1,0.8,100
1,90,12,21,6,7,2001,50,10600,1,0.6,100
1,90,12,21,1,7,2001,50,10700,1,0.7,100
1,90,12,21,32,7,2001,50,11100,2,1.5,100
1,90,12,21,6,7,2001,50,11200,1,0.9,100
1,90,12,21,6,7,2001,20,11300,3,2.8,100
1,90,12,21,1,7,2001,50,11400,1,1.3,100
1,90,12,21,6,7,2001,50,11500,1,1.1,100
1,90,12,21,6,7,2001,50,11600,2,2.2,100
1,90,12,21,1,7,2001,50,20500,2,1.5,100
1,90,12,21,10,7,2001,50,20600,1,1.3,100
1,90,12,21,6,7,2001,50,20700,1,1.3,100
1,90,12,21,6,7,2001,50,20800,1,0.6,100
1,90,12,21,6,7,2001,50,20901,1,0.6,100
1,90,12,21,6,7,2001,50,21000,2,1.9,100
1,90,12,21,1,7,2001,50,21100,1,1.3,100
1,90,12,21,4,7,2001,50,21200,1,1.4,100
1,90,12,21,1,7,2001,50,21300,1,0.9,100
1,90,12,21,1,7,2001,50,21400,1,0.7,100
1,90,12,21,6,7,2001,50,21500,1,1.2,100
1,90,12,21,15,7,2001,50,21600,1,0.8,100
